,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Talenta.co,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CONTOH SLIP GAJI,,,,,,,,,,,,,,,,,,,,,,
ID,:,CN-007,,,,,,,,,,,,,,,,,,,,
NAMA,:,NOBI NOBITA,,,,,,,,,,,,,,,,,,,,
JABATAN,:,Manager HRD,,,,,,,,,,,,,,,,,,,,
STS,:,K/2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PENERIMAAN,,,,POTONGAN,,,,,,,,,,,,,,,,,,
Gaji Pokok,:," 9,000,000.00 ",,Tunj. Jabatan,:," 500,000.00 ",,,,,,,,,,,,,,,,
Tunjangan,:," 500,000.00 ",,BPJS,:," 80,000.00 ",,,,,,,,,,,,,,,,
Lembur,:," 2,171,965.00 ",,JHT,:," 180,000.00 ",,,,,,,,,,,,,,,,
Transport,:, - ,,JKK,:," 90,000.00 ",,,,,,,,,,,,,,,,
Uang Makan,:, - ,,JPN,:," 90,000.00 ",,,,,,,,,,,,,,,,
Bonus,:, - ,,PPH 21,:," 349,378.00 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TOTAL PENERIMAAN,," 11,671,965.00 ",,TOTAL POTONGAN,," 1,289,378.00 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
THP,," 10,382,587.00 ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Payroll,,,,,," Diterima Oleh, ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
_______________,,,,,, NOBI NOBITA ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
